"",16.000
16231.6667,-1.0423E+02
16231.8333,-5.2843E+01
16232.0000,-6.4481E+01
16232.1667,-6.7469E+01
16232.3333,-5.4481E+01
16232.5000,-7.3005E+01
16232.6667,-7.6284E+01
16232.8333,-6.5314E+01
16233.0000,-7.1202E+01
16233.1667,-7.0989E+01
16233.3333,-4.5113E+01
16233.5000,-6.6183E+01
16233.6667,-7.1356E+01
16233.8333,-7.8598E+01
16234.0000,-8.4621E+01
16234.1667,-8.6003E+01
16234.3333,-6.2552E+01
16234.5000,-1.0539E+02
16234.6667,-8.9185E+01
16234.8333,-1.1079E+02
16235.0000,-9.4272E+01
16235.1667,-1.0567E+02
16235.3333,-9.4616E+01
16235.5000,-1.2042E+02
16235.6667,-1.3298E+02
16235.8333,-1.2008E+02
16236.0000,-1.3509E+02
16236.1667,-1.3685E+02
16236.3333,-1.2187E+02
16236.5000,-9.6690E+01
16236.6667,-8.7319E+01
16236.8333,-9.9017E+01
16237.0000,-1.1094E+02
16237.1667,-1.1763E+02
16237.3333,-9.7721E+01
16237.5000,-1.0352E+02
16237.6667,-1.1179E+02
16237.8333,-1.0211E+02
16238.0000,-1.2747E+02
16238.1667,-1.1792E+02
16238.3333,-9.6994E+01
16238.5000,-1.3168E+02
16238.6667,-1.1275E+02
16238.8333,-9.5689E+01
16239.0000,-9.5032E+01
16239.1667,-9.2717E+01
16239.3333,-8.9411E+01
16239.5000,-9.2376E+01
16239.6667,-1.2319E+02
16239.8333,-9.7537E+01
16240.0000,-8.3935E+01
16240.1667,-1.0135E+02
16240.3333,-7.6730E+01
16240.5000,-1.1577E+02
16240.6667,-9.9396E+01
16240.8333,-9.2722E+01
16241.0000,-8.9900E+01
16241.1667,-9.5503E+01
16241.3333,-8.4215E+01
16241.5000,-9.5865E+01
16241.6667,-8.2111E+01
16241.8333,-9.0513E+01
16242.0000,-9.5613E+01
16242.1667,-1.0722E+02
16242.3333,-8.9701E+01
16242.5000,-1.0292E+02
16242.6667,-8.5238E+01
16242.8333,-9.8098E+01
16243.0000,-1.0407E+02
16243.1667,-1.0296E+02
16243.3333,-8.0947E+01
16243.5000,-8.2796E+01
16243.6667,-5.9398E+01
16243.8333,-9.8074E+01
16244.0000,-8.0520E+01
16244.1667,-8.7257E+01
16244.3333,-7.1338E+01
16244.5000,-1.1366E+02
16244.6667,-7.6392E+01
16244.8333,-6.7316E+01
16245.0000,-7.5646E+01
16245.1667,-7.6594E+01
16245.3333,-8.1145E+01
16245.5000,-7.0216E+01
16245.6667,-7.1772E+01
16245.8333,-7.2562E+01
16246.0000,-8.8152E+01
16246.1667,-9.5085E+01
16246.3333,-7.4004E+01
16246.5000,-1.1127E+02
16246.6667,-8.6397E+01
16246.8333,-8.3569E+01
16247.0000,-9.5549E+01
16247.1667,-1.0699E+02
16247.3333,-8.7090E+01
16247.5000,-6.8151E+01
16247.6667,-7.3011E+01
16247.8333,-7.7917E+01
16248.0000,-9.2749E+01
16248.1667,-9.1208E+01
16248.3333,-6.8009E+01
16248.5000,-1.6555E+02
16248.6667,-8.8954E+01
16248.8333,-8.7774E+01
16249.0000,-9.1612E+01
16249.1667,-8.5446E+01
16249.3333,-7.1236E+01
16249.5000,-6.9424E+01
16249.6667,-6.9852E+01
16249.8333,-7.6642E+01
16250.0000,-6.7401E+01
16250.1667,-6.6030E+01
16250.3333,-9.3720E+01
16250.5000,-9.1766E+01
16250.6667,-1.1159E+02
16250.8333,-1.0335E+02
16251.0000,-1.0367E+02
16251.1667,-9.4335E+01
16251.3333,-1.0622E+02
16251.5000,-9.3825E+01
16251.6667,-8.8074E+01
16251.8333,-9.1512E+01
16252.0000,-1.0720E+02
16252.1667,-1.0469E+02
16252.3333,-8.2586E+01
16252.5000,-1.5311E+02
16252.6667,-9.5897E+01
16252.8333,-8.7808E+01
16253.0000,-8.5743E+01
16253.1667,-7.0592E+01
16253.3333,-6.3225E+01
16253.5000,-5.8882E+01
16253.6667,-6.3460E+01
16253.8333,-6.7898E+01
16254.0000,-8.3817E+01
16254.1667,-8.3917E+01
16254.3333,-7.1855E+01
16254.5000,-1.2075E+02
16254.6667,-1.2333E+02
16254.8333,-7.7865E+01
16255.0000,-7.4845E+01
16255.1667,-7.3112E+01
16255.3333,-5.6101E+01
16255.5000,-6.8234E+01
16255.6667,-3.4860E+01
16255.8333,-6.1963E+01
16256.0000,-6.2316E+01
16256.1667,-6.0440E+01
16256.3333,-4.8189E+01
16256.5000,-5.1087E+01
16256.6667,-4.6832E+01
16256.8333,-5.0576E+01
16257.0000,-6.7364E+01
16257.1667,-7.0479E+01
16257.3333,-5.5439E+01
16257.5000,-1.2580E+02
16257.6667,-9.3136E+01
16257.8333,-1.3121E+02
16258.0000,-6.2034E+01
16258.1667,-6.1450E+01
16258.3333,-6.2238E+01
16258.5000,-8.1739E+01
16258.6667,-5.2425E+01
16258.8333,-6.7486E+01
16259.0000,-7.1312E+01
16259.1667,-7.3042E+01
16259.3333,-8.9003E+01
16259.5000,-9.2103E+01
16259.6667,-9.3751E+01
16259.8333,-9.4789E+01
16260.0000,-9.2867E+01
16260.1667,-8.7946E+01
16260.3333,-8.5734E+01
16260.5000,-9.1245E+01
16260.6667,-8.7788E+01
16260.8333,-9.3437E+01
16261.0000,-9.2280E+01
16261.1667,-9.8898E+01
16261.3333,-8.5850E+01
16261.5000,-7.6449E+01
16261.6667,-7.2034E+01
16261.8333,-6.5510E+01
16262.0000,-6.0727E+01
16262.1667,-5.8188E+01
16262.3333,-5.0593E+01
16262.5000,-4.6803E+01
16262.6667,-3.5173E+01
16262.8333,-3.9800E+01
16263.0000,-4.4923E+01
16263.1667,-4.5122E+01
16263.3333,-4.1333E+01
16263.5000,-6.7168E+01
16263.6667,-6.1361E+01
16263.8333,-5.0255E+01
16264.0000,-5.0148E+01
16264.1667,-5.0919E+01
16264.3333,-4.6558E+01
16264.5000,-5.4832E+01
16264.6667,-4.6608E+01
16264.8333,-5.0858E+01
16265.0000,-4.6320E+01
16265.1667,-4.6954E+01
16265.3333,-3.8515E+01
16265.5000,-5.9071E+01
16265.6667,-6.2936E+01
16265.8333,-4.5597E+01
16266.0000,-4.6014E+01
16266.1667,-4.7741E+01
16266.3333,-3.8758E+01
16266.5000,-4.7507E+01
16266.6667,-5.4454E+01
16266.8333,-5.7802E+01
16267.0000,-6.7126E+01
16267.1667,-6.8100E+01
16267.3333,-3.7697E+01
16267.5000,-1.1866E+02
16267.6667,-4.4557E+01
16267.8333,-6.3375E+01
16268.0000,-5.8576E+01
16268.1667,-5.7462E+01
16268.3333,-3.6782E+01
16268.5000,-1.0269E+02
16268.6667,-6.0470E+01
16268.8333,-6.7346E+01
16269.0000,-7.2096E+01
16269.1667,-7.7989E+01
16269.3333,-4.8376E+01
16269.5000,-1.1070E+02
16269.6667,-8.6802E+01
16269.8333,-8.0578E+01
16270.0000,-8.2706E+01
16270.1667,-8.5374E+01
16270.3333,-5.4873E+01
16270.5000,-1.2441E+02
16270.6667,-9.3343E+01
16270.8333,-6.1756E+01
16271.0000,-6.1253E+01
16271.1667,-6.6863E+01
16271.3333,-4.5566E+01
16271.5000,-5.9343E+01
16271.6667,-6.4256E+01
16271.8333,-1.1580E+02
16272.0000,-8.5651E+01
16272.1667,-9.0294E+01
16272.3333,-7.8951E+01
16272.5000,-7.5229E+01
16272.6667,-7.9039E+01
16272.8333,-7.3591E+01
16273.0000,-7.1484E+01
16273.1667,-6.5264E+01
16273.3333,-5.5713E+01
16273.5000,-5.2381E+01
16273.6667,-4.9200E+01
16273.8333,-5.0232E+01
16274.0000,-4.8622E+01
16274.1667,-4.8277E+01
16274.3333,-4.4674E+01
16274.5000,-4.1650E+01
16274.6667,-2.9683E+01
16274.8333,-5.4990E+01
16275.0000,-6.2948E+01
16275.1667,-6.0906E+01
16275.3333,-4.7387E+01
16275.5000,-6.8774E+01
16275.6667,-8.6956E+01
16275.8333,-7.2877E+01
16276.0000,-7.2021E+01
16276.1667,-8.0714E+01
16276.3333,-5.8273E+01
16276.5000,-1.2184E+02
16276.6667,-9.4449E+01
16276.8333,-7.9723E+01
16277.0000,-7.5552E+01
16277.1667,-7.3086E+01
16277.3333,-6.5771E+01
16277.5000,-7.9700E+01
16277.6667,-6.5480E+01
16277.8333,-6.2890E+01
16278.0000,-6.6212E+01
16278.1667,-6.7764E+01
16278.3333,-6.3343E+01
16278.5000,-6.2412E+01
16278.6667,-5.5985E+01
16278.8333,-5.3238E+01
16279.0000,-5.9803E+01
16279.1667,-7.0204E+01
16279.3333,-6.4564E+01
16279.5000,-1.0748E+02
16279.6667,-1.4433E+02
16279.8333,-6.1839E+01
16280.0000,-6.5608E+01
16280.1667,-7.4114E+01
16280.3333,-6.7920E+01
16280.5000,-6.2676E+01
16280.6667,-5.5872E+01
16280.8333,-6.2052E+01
16281.0000,-7.0829E+01
16281.1667,-6.8258E+01
16281.3333,-6.0815E+01
16281.5000,-5.3177E+01
16281.6667,-4.6958E+01
16281.8333,-4.5036E+01
16282.0000,-5.1000E+01
16282.1667,-5.0078E+01
16282.3333,-4.4902E+01
16282.5000,-4.5202E+01
16282.6667,-5.1222E+01
16282.8333,-7.2931E+01
16283.0000,-6.4906E+01
16283.1667,-6.7474E+01
16283.3333,-4.9481E+01
16283.5000,-9.0667E+01
16283.6667,-4.6956E+01
16283.8333,-5.2177E+01
16284.0000,-5.6544E+01
16284.1667,-5.2693E+01
16284.3333,-4.2949E+01
16284.5000,-5.0372E+01
16284.6667,-5.0387E+01
16284.8333,-6.4199E+01
16285.0000,-5.7865E+01
16285.1667,-6.7830E+01
16285.3333,-5.9342E+01
16285.5000,-6.1218E+01
16285.6667,-4.8601E+01
16285.8333,-5.9209E+01
16286.0000,-7.3317E+01
16286.1667,-7.7215E+01
16286.3333,-5.9506E+01
16286.5000,-5.2307E+01
16286.6667,-7.7211E+01
16286.8333,-6.1496E+01
16287.0000,-6.4783E+01
16287.1667,-6.3319E+01
16287.3333,-5.4175E+01
16287.5000,-5.4107E+01
16287.6667,-4.6031E+01
16287.8333,-8.0071E+01
16288.0000,-8.3023E+01
16288.1667,-8.7237E+01
16288.3333,-6.6590E+01
16288.5000,-1.1884E+02
16288.6667,-6.6058E+01
16288.8333,-6.2332E+01
16289.0000,-5.8678E+01
16289.1667,-5.8426E+01
16289.3333,-5.0176E+01
16289.5000,-4.8919E+01
16289.6667,-5.3596E+01
16289.8333,-5.9077E+01
16290.0000,-6.1439E+01
16290.1667,-5.5534E+01
16290.3333,-4.8726E+01
16290.5000,-6.6597E+01
16290.6667,-4.2520E+01
16290.8333,-4.7178E+01
16291.0000,-6.6128E+01
16291.1667,-5.6262E+01
16291.3333,-4.3350E+01
16291.5000,-6.5761E+01
16291.6667,-6.3907E+01
16291.8333,-5.9182E+01
16292.0000,-4.9678E+01
16292.1667,-5.4667E+01
16292.3333,-4.6576E+01
16292.5000,-5.0668E+01
16292.6667,-7.7898E+01
16292.8333,-4.2603E+01
16293.0000,-4.9249E+01
16293.1667,-5.2908E+01
16293.3333,-6.2536E+01
16293.5000,-6.8563E+01
16293.6667,-7.2776E+01
16293.8333,-7.9486E+01
16294.0000,-8.6681E+01
16294.1667,-9.6491E+01
16294.3333,-8.1823E+01
16294.5000,-1.1562E+02
16294.6667,-7.6562E+01
16294.8333,-7.5355E+01
16295.0000,-8.1125E+01
16295.1667,-7.6829E+01
16295.3333,-6.8777E+01
16295.5000,-1.1118E+02
16295.6667,-1.8380E+02
16295.8333,-1.2544E+02
16296.0000,-9.8332E+01
16296.1667,-9.6935E+01
16296.3333,-9.3690E+01
16296.5000,-8.6657E+01
16296.6667,-8.0310E+01
16296.8333,-8.9944E+01
16297.0000,-9.2785E+01
16297.1667,-8.5800E+01
16297.3333,-8.2408E+01
16297.5000,-9.2945E+01
16297.6667,-9.4814E+01
16297.8333,-8.3410E+01
16298.0000,-8.2405E+01
16298.1667,-8.5630E+01
16298.3333,-8.0034E+01
16298.5000,-7.2392E+01
16298.6667,-8.6581E+01
16298.8333,-8.6504E+01
16299.0000,-1.0036E+02
16299.1667,-1.0132E+02
16299.3333,-7.5555E+01
16299.5000,-7.7000E+01
16299.6667,-7.5077E+01
16299.8333,-7.5243E+01
16300.0000,-8.2243E+01
16300.1667,-8.5447E+01
16300.3333,-6.4702E+01
16300.5000,-8.6420E+01
16300.6667,-9.5511E+01
16300.8333,-8.0263E+01
16301.0000,-8.1701E+01
16301.1667,-7.1734E+01
16301.3333,-6.0207E+01
16301.5000,-5.4312E+01
16301.6667,-6.0503E+01
16301.8333,-6.2878E+01
16302.0000,-7.3149E+01
16302.1667,-7.8520E+01
16302.3333,-6.9048E+01
