"",16.000
16199.0000,-2.3489E+00
16199.1667,-9.8408E+00
16199.3333,-6.0691E-02
16199.5000,9.0111E+00
16199.6667,2.2158E+00
16199.8333,-1.5941E+00
16200.0000,-8.3680E+00
16200.1667,-2.4785E+01
16200.3333,-2.1436E+00
16200.5000,-1.8241E+00
16200.6667,4.4225E-02
16200.8333,-1.6113E+00
16201.0000,-1.3160E+01
16201.1667,-2.2005E+01
16201.3333,-3.1706E+01
16201.5000,-7.9021E+00
16201.6667,-3.3532E+01
16201.8333,-5.8662E+01
16202.0000,-3.8299E+01
16202.1667,-3.8129E+01
16202.3333,-2.6568E+01
16202.5000,-1.7671E+01
16202.6667,-1.5144E+01
16202.8333,-3.4004E+01
16203.0000,-3.6498E+01
16203.1667,-3.5922E+01
16203.3333,-3.8863E+01
16203.5000,-3.9678E+01
16203.6667,-4.8253E+01
16203.8333,-3.7292E+01
16204.0000,-3.5392E+01
16204.1667,-3.3547E+01
16204.3333,-4.5547E+01
16204.5000,-2.8267E+01
16204.6667,-3.1970E+01
16204.8333,-3.5907E+01
16205.0000,-3.8716E+01
16205.1667,-3.8265E+01
16205.3333,-3.0761E+01
16205.5000,-2.6600E+01
16205.6667,-2.1175E+01
16205.8333,-3.0386E+01
16206.0000,-4.5922E+01
16206.1667,-4.7268E+01
16206.3333,-1.8047E+01
16206.5000,-6.7459E+00
16206.6667,-4.7813E+00
16206.8333,-1.1254E+01
16207.0000,-2.1283E+01
16207.1667,-2.2555E+01
16207.3333,-5.6951E+00
16207.5000,-4.5272E+00
16207.6667,-1.3845E+00
16207.8333,-1.5888E+01
16208.0000,-3.3595E+01
16208.1667,-6.1060E+01
16208.3333,-1.3959E+01
16208.5000,1.6919E+01
16208.6667,2.7835E+01
16208.8333,-5.7873E+00
16209.0000,-2.7318E+01
16209.1667,-3.4962E+01
16209.3333,1.1253E+01
16209.5000,3.4066E+01
16209.6667,2.7471E+01
16209.8333,7.2785E-01
16210.0000,-1.0874E+01
16210.1667,-1.5756E+01
16210.3333,1.4515E+00
16210.5000,2.5224E+00
16210.6667,2.6382E+00
16210.8333,-4.6220E+00
16211.0000,-1.3059E+01
16211.1667,-1.8761E+01
16211.3333,4.8881E-01
16211.5000,-2.8655E-01
16211.6667,2.7259E+01
16211.8333,2.5205E+01
16212.0000,2.3507E+01
16212.1667,-2.1473E+00
16212.3333,2.4148E+00
16212.5000,6.4933E+00
16212.6667,6.3331E-01
