"",16.000
16300.0000,3.0598E+02
16300.1667,3.3967E+02
16300.3333,3.6880E+02
16300.5000,3.9078E+02
16300.6667,3.9883E+02
16300.8333,3.6311E+02
16301.0000,3.5350E+02
16301.1667,3.4683E+02
16301.3333,3.5719E+02
16301.5000,3.7198E+02
16301.6667,3.6834E+02
16301.8333,3.5961E+02
16302.0000,3.5370E+02
16302.1667,3.3346E+02
16302.3333,3.4274E+02
16302.5000,3.5219E+02
16302.6667,3.4867E+02
16302.8333,3.3978E+02
16303.0000,3.2958E+02
16303.1667,3.1173E+02
16303.3333,3.2777E+02
16303.5000,3.3847E+02
16303.6667,3.4010E+02
16303.8333,3.2761E+02
16304.0000,3.1720E+02
16304.1667,3.4403E+02
16304.3333,3.6686E+02
16304.5000,3.9108E+02
16304.6667,3.8301E+02
16304.8333,3.6525E+02
16305.0000,3.5137E+02
16305.1667,3.3625E+02
16305.3333,3.4469E+02
16305.5000,3.4759E+02
16305.6667,3.5335E+02
16305.8333,3.4398E+02
16306.0000,3.3610E+02
16306.1667,3.3603E+02
16306.3333,3.4331E+02
16306.5000,3.5663E+02
16306.6667,3.6211E+02
16306.8333,3.4531E+02
16307.0000,3.3396E+02
16307.1667,3.3971E+02
16307.3333,3.5813E+02
16307.5000,3.7008E+02
16307.6667,3.6923E+02
16307.8333,3.6165E+02
16308.0000,3.6096E+02
16308.1667,3.5135E+02
16308.3333,3.5820E+02
16308.5000,3.6535E+02
16308.6667,3.6516E+02
16308.8333,3.6189E+02
16309.0000,3.6024E+02
16309.1667,3.2080E+02
16309.3333,3.2743E+02
16309.5000,3.4216E+02
16309.6667,3.3672E+02
16309.8333,3.2409E+02
16310.0000,3.1782E+02
16310.1667,3.4497E+02
16310.3333,3.6215E+02
16310.5000,3.8218E+02
16310.6667,3.8648E+02
16310.8333,3.6153E+02
16311.0000,3.5721E+02
16311.1667,3.4804E+02
16311.3333,3.6074E+02
16311.5000,3.8919E+02
16311.6667,3.6691E+02
16311.8333,3.5559E+02
16312.0000,3.5531E+02
16312.1667,3.6943E+02
16312.3333,3.7669E+02
16312.5000,3.9363E+02
16312.6667,3.9634E+02
16312.8333,3.8034E+02
16313.0000,3.6697E+02
16313.1667,3.6071E+02
16313.3333,3.7205E+02
